date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:25	49621/49621	---M-Z	200	added ('OK')	text/html	etag:W/%22613d4bdb-c1d5%22	https://varadbhogayata.github.io/	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/index.html	(from )
20:29:25	89/89	---M--	200	added ('OK')	text/plain	etag:%22613d4bdb-59%22	https://varadbhogayata.github.io/robots.txt		(from )
20:29:26	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Nov%202023%2014:59:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/KARTIK/Downloads/suhana%20test%20project/www.googletagmanager.com/gtm.05445.delayed	(from https://varadbhogayata.github.io/)
20:29:27	135727/135727	---M-Z	200	added ('OK')	text/css	etag:%225eb03efe-2122f%22	http://cdnjs.cloudflare.com/ajax/libs/materialize/0.95.3/css/materialize.min.css	C:/Users/KARTIK/Downloads/suhana%20test%20project/cdnjs.cloudflare.com/ajax/libs/materialize/0.95.3/css/materialize.min.css	(from https://varadbhogayata.github.io/)
20:29:28	23739/23739	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/Users/KARTIK/Downloads/suhana%20test%20project/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from https://varadbhogayata.github.io/)
20:29:28	10592/10592	---M-Z	200	added ('OK')	text/css	etag:W/%22613d4bdb-2960%22	https://varadbhogayata.github.io/assets/css/style.css	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/css/style.css	(from https://varadbhogayata.github.io/)
20:29:28	1683/1683	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-693%22	https://varadbhogayata.github.io/assets/img/favicon/apple-icon-57x57.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/favicon/apple-icon-57x57.png	(from https://varadbhogayata.github.io/)
20:29:29	1760/1760	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-6e0%22	https://varadbhogayata.github.io/assets/img/favicon/apple-icon-60x60.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/favicon/apple-icon-60x60.png	(from https://varadbhogayata.github.io/)
20:29:29	2314/2314	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-90a%22	https://varadbhogayata.github.io/assets/img/favicon/apple-icon-72x72.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/favicon/apple-icon-72x72.png	(from https://varadbhogayata.github.io/)
20:29:29	2823/2823	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-b07%22	https://varadbhogayata.github.io/assets/img/favicon/apple-icon-76x76.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/favicon/apple-icon-76x76.png	(from https://varadbhogayata.github.io/)
20:29:30	5850/5850	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-16da%22	https://varadbhogayata.github.io/assets/img/favicon/apple-icon-114x114.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/favicon/apple-icon-114x114.png	(from https://varadbhogayata.github.io/)
